"Hora del RTC DS3231	 Temperatura	 Índice UV	 Rango"
"Hora: 9:40:20	 - Temperatura: 32	 - Índice UV 1	 - Rango: 133"
"Hora: 9:40:21	 - Temperatura: 32	 - Índice UV 1	 - Rango: 119"
"Hora: 9:40:22	 - Temperatura: 32	 - Índice UV 1	 - Rango: 158"
"Hora: 9:40:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 151"
"Hora: 9:40:24	 - Temperatura: 32	 - Índice UV 1	 - Rango: 153"
"Hora: 9:40:25	 - Temperatura: 32	 - Índice UV 1	 - Rango: 125"
"Hora: 9:40:26	 - Temperatura: 32	 - Índice UV 1	 - Rango: 193"
"Hora: 9:40:27	 - Temperatura: 32	 - Índice UV 1	 - Rango: 187"
"Hora: 9:40:28	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:40:29	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
"Hora: 9:40:30	 - Temperatura: 31	 - Índice UV 1	 - Rango: 202"
"Hora: 9:40:31	 - Temperatura: 32	 - Índice UV 1	 - Rango: 195"
"Hora: 9:40:32	 - Temperatura: 32	 - Índice UV 0	 - Rango: 93"
"Hora: 9:40:33	 - Temperatura: 32	 - Índice UV 0	 - Rango: 80"
"Hora: 9:40:34	 - Temperatura: 32	 - Índice UV 0	 - Rango: 66"
"Hora: 9:40:35	 - Temperatura: 32	 - Índice UV 1	 - Rango: 130"
"Hora: 9:40:36	 - Temperatura: 32	 - Índice UV 1	 - Rango: 173"
"Hora: 9:40:37	 - Temperatura: 32	 - Índice UV 1	 - Rango: 177"
"Hora: 9:40:38	 - Temperatura: 32	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:39	 - Temperatura: 32	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:40	 - Temperatura: 32	 - Índice UV 1	 - Rango: 151"
"Hora: 9:40:41	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:42	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:43	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:44	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:45	 - Temperatura: 32	 - Índice UV 1	 - Rango: 124"
"Hora: 9:40:46	 - Temperatura: 31	 - Índice UV 1	 - Rango: 172"
"Hora: 9:40:47	 - Temperatura: 31	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:48	 - Temperatura: 31	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:49	 - Temperatura: 31	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:50	 - Temperatura: 31	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:51	 - Temperatura: 32	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:52	 - Temperatura: 32	 - Índice UV 1	 - Rango: 174"
"Hora: 9:40:53	 - Temperatura: 32	 - Índice UV 1	 - Rango: 125"
"Hora: 9:40:54	 - Temperatura: 32	 - Índice UV 0	 - Rango: 77"
"Hora: 9:40:55	 - Temperatura: 32	 - Índice UV 1	 - Rango: 163"
"Hora: 9:40:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 155"
"Hora: 9:40:57	 - Temperatura: 32	 - Índice UV 0	 - Rango: 23"
"Hora: 9:40:58	 - Temperatura: 32	 - Índice UV 0	 - Rango: 80"
"Hora: 9:40:59	 - Temperatura: 32	 - Índice UV 1	 - Rango: 159"
"Hora: 9:41:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:41:1	 - Temperatura: 32	 - Índice UV 0	 - Rango: 59"
"Hora: 9:41:2	 - Temperatura: 32	 - Índice UV 0	 - Rango: 54"
"Hora: 9:41:3	 - Temperatura: 32	 - Índice UV 0	 - Rango: 52"
"Hora: 9:41:4	 - Temperatura: 32	 - Índice UV 0	 - Rango: 62"
"Hora: 9:41:5	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:41:6	 - Temperatura: 32	 - Índice UV 1	 - Rango: 173"
"Hora: 9:41:7	 - Temperatura: 32	 - Índice UV 1	 - Rango: 169"
"Hora: 9:41:8	 - Temperatura: 32	 - Índice UV 0	 - Rango: 13"
"Hora: 9:41:9	 - Temperatura: 32	 - Índice UV 0	 - Rango: 70"
"Hora: 9:41:10	 - Temperatura: 32	 - Índice UV 0	 - Rango: 39"
"Hora: 9:41:11	 - Temperatura: 32	 - Índice UV 0	 - Rango: 0"
"Hora: 9:41:12	 - Temperatura: 32	 - Índice UV 0	 - Rango: 15"
"Hora: 9:41:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:41:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:41:15	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:41:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 204"
"Hora: 9:41:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:18	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:41:19	 - Temperatura: 32	 - Índice UV 2	 - Rango: 207"
